device_id,ts,anomaly_type,confidence_score,carbon_credit_impact_pct
TEC0325A0600002,2026-02-04 07:14:06.290000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7946,100.0
TEC0325A0600002,2026-02-04 07:14:36.329000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7934,100.0
TEC0325A0600002,2026-02-04 07:28:06.289000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7914,100.0
TEC0325A0600002,2026-02-04 07:28:36.312000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7902,100.0
TEC0325A0600002,2026-02-04 07:32:06.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7872,100.0
TEC0325A0600002,2026-02-04 07:32:36.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7872,100.0
TEC0325A0600002,2026-02-04 07:34:06.303000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8067,100.0
TEC0325A0600002,2026-02-04 07:34:36.289000+00:00,EXCESSIVE_DISCHARGE_RATE,0.806,100.0
TEC0325A0600002,2026-02-04 07:36:36.366000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7906,100.0
TEC0325A0600002,2026-02-04 07:37:06.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7906,100.0
TEC0325A0600002,2026-02-04 07:40:36.285000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8075,100.0
TEC0325A0600002,2026-02-04 07:41:06.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8069,100.0
TEC0325A0600002,2026-02-04 07:42:36.289000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7835,100.0
TEC0325A0600002,2026-02-04 07:43:06.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7835,100.0
TEC0325A0600002,2026-02-04 07:46:36.285000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7877,100.0
TEC0325A0600002,2026-02-04 07:47:06.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7897,100.0
TEC0325A0600002,2026-02-04 07:48:36.302000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7909,100.0
TEC0325A0600002,2026-02-04 07:49:06.292000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7935,100.0
TEC0325A0600002,2026-02-04 07:50:36.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8133,100.0
TEC0325A0600002,2026-02-04 07:51:06.297000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8133,100.0
TEC0325A0600002,2026-02-04 07:54:36.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7923,100.0
TEC0325A0600002,2026-02-04 07:55:06.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7929,100.0
TEC0325A0600002,2026-02-04 07:56:36.291000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7953,100.0
TEC0325A0600002,2026-02-04 07:57:06.290000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7953,100.0
TEC0325A0600002,2026-02-04 08:00:36.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8188,100.0
TEC0325A0600002,2026-02-04 08:01:06.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8188,100.0
TEC0325A0600002,2026-02-04 08:04:36.300000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7976,100.0
TEC0325A0600002,2026-02-04 08:05:06.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8018,100.0
TEC0325A0600002,2026-02-04 08:08:36.289000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8115,100.0
TEC0325A0600002,2026-02-04 08:09:06.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8115,100.0
TEC0325A0600002,2026-02-04 08:10:36.290000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8321,100.0
TEC0325A0600002,2026-02-04 08:11:06.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8321,100.0
TEC0325A0600002,2026-02-04 08:15:06.394000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8127,100.0
TEC0325A0600002,2026-02-04 08:15:36.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8139,100.0
TEC0325A0600002,2026-02-04 08:19:06.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8172,100.0
TEC0325A0600002,2026-02-04 08:19:36.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8172,100.0
TEC0325A0600002,2026-02-04 08:25:06.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8153,100.0
TEC0325A0600002,2026-02-04 08:25:36.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8153,100.0
TEC0325A0600002,2026-02-04 08:33:06.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8346,100.0
TEC0325A0600002,2026-02-04 08:33:36.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.834,100.0
TEC0325A0600002,2026-02-04 08:35:06.284000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8334,100.0
TEC0325A0600002,2026-02-04 08:35:36.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8328,100.0
TEC0325A0600002,2026-02-04 08:39:06.291000+00:00,EXCESSIVE_DISCHARGE_RATE,0.82,100.0
TEC0325A0600002,2026-02-04 08:39:36.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.82,100.0
TEC0325A0600002,2026-02-04 11:13:06.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.801,100.0
TEC0325A0600002,2026-02-04 11:13:36.297000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8054,100.0
TEC0325A0600002,2026-02-04 11:15:06.291000+00:00,EXCESSIVE_DISCHARGE_RATE,0.815,100.0
